location_sec0,content_sec0,location_sec1,content_sec1,location_sec2,content_sec2,location_sec3,content_sec3,location_sec4,content_sec4,location_sec5,content_sec5,location_impldef,content_impldef
intro.tex:70,\rSec0[intro.defs]{Terms and definitions},intro.tex:-1,,intro.tex:-1,,intro.tex:-1,,intro.tex:-1,,intro.tex:-1,,intro.tex:149,message belonging to an \impldef{diagnostic message} subset of the
intro.tex:305,\rSec0[intro]{General principles},intro.tex:329,\rSec1[intro.compliance]{Implementation compliance},intro.tex:-1,,intro.tex:-1,,intro.tex:-1,,intro.tex:-1,,intro.tex:405,"an operating system, and has an \impldef{required libraries for freestandingimplementation}"
intro.tex:305,\rSec0[intro]{General principles},intro.tex:495,\rSec1[intro.memory]{The \Cpp memory model},intro.tex:-1,,intro.tex:-1,,intro.tex:-1,,intro.tex:-1,,intro.tex:508,the number of which is \impldef{bits in a byte}. The least
intro.tex:305,\rSec0[intro]{General principles},intro.tex:754,\rSec1[intro.execution]{Program execution},intro.tex:-1,,intro.tex:-1,,intro.tex:-1,,intro.tex:-1,,intro.tex:843,\impldef{interactive device}.
intro.tex:305,\rSec0[intro]{General principles},intro.tex:1146,\rSec1[intro.multithread]{Multi-threaded executions and data races},intro.tex:-1,,intro.tex:-1,,intro.tex:-1,,intro.tex:-1,,intro.tex:1167,"below. \end{note} Under a freestanding implementation, it is \impldef{number of"
intro.tex:305,\rSec0[intro]{General principles},intro.tex:1146,\rSec1[intro.multithread]{Multi-threaded executions and data races},intro.tex:1510,\rSec2[intro.progress]{Forward progress},intro.tex:-1,,intro.tex:-1,,intro.tex:-1,,intro.tex:1611,It is \impldef{whether the thread that executes \tcode{main} and the threads created
lex.tex:2,\rSec0[lex]{Lexical conventions},lex.tex:52,\rSec1[lex.phases]{Phases of translation}%,lex.tex:-1,,lex.tex:-1,,lex.tex:-1,,lex.tex:-1,,lex.tex:64,"\impldef{mapping physical source file characters to basic source character set} manner,"
lex.tex:2,\rSec0[lex]{Lexical conventions},lex.tex:52,\rSec1[lex.phases]{Phases of translation}%,lex.tex:-1,,lex.tex:-1,,lex.tex:-1,,lex.tex:-1,,lex.tex:67,The set of physical source file characters accepted is \impldef{physical source filecharacters}
lex.tex:2,\rSec0[lex]{Lexical conventions},lex.tex:52,\rSec1[lex.phases]{Phases of translation}%,lex.tex:-1,,lex.tex:-1,,lex.tex:-1,,lex.tex:-1,,lex.tex:129,"there is no corresponding member, it is converted to an \impldef{convertingcharacters from source character set to execution character set}"
lex.tex:2,\rSec0[lex]{Lexical conventions},lex.tex:52,\rSec1[lex.phases]{Phases of translation}%,lex.tex:-1,,lex.tex:-1,,lex.tex:-1,,lex.tex:-1,,lex.tex:154,required templates are located. It is \impldef{whether source of translation units mustbe available to locate template definitions}
lex.tex:2,\rSec0[lex]{Lexical conventions},lex.tex:174,\rSec1[lex.charset]{Character sets},lex.tex:-1,,lex.tex:-1,,lex.tex:-1,,lex.tex:-1,,lex.tex:185,"\impldef{mapping from physical source file characters to basic source character set},"
lex.tex:2,\rSec0[lex]{Lexical conventions},lex.tex:174,\rSec1[lex.charset]{Character sets},lex.tex:-1,,lex.tex:-1,,lex.tex:-1,,lex.tex:-1,,lex.tex:240,\impldef{execution character set and execution wide-character set}
lex.tex:2,\rSec0[lex]{Lexical conventions},lex.tex:433,\rSec1[lex.header]{Header names},lex.tex:-1,,lex.tex:-1,,lex.tex:-1,,lex.tex:-1,,lex.tex:468,\impldef{mapping header name to header or external source file} manner to headers or to
lex.tex:2,\rSec0[lex]{Lexical conventions},lex.tex:433,\rSec1[lex.header]{Header names},lex.tex:-1,,lex.tex:-1,,lex.tex:-1,,lex.tex:-1,,lex.tex:475,"is conditionally-supported with \impldef{meaning of \tcode{'}, \tcode{\textbackslash},"
lex.tex:2,\rSec0[lex]{Lexical conventions},lex.tex:811,\rSec1[lex.literal]{Literals}%,lex.tex:1049,\rSec2[lex.ccon]{Character literals},lex.tex:-1,,lex.tex:-1,,lex.tex:-1,,lex.tex:1132,and has an \impldef{value of multicharacter literal} value.
lex.tex:2,\rSec0[lex]{Lexical conventions},lex.tex:811,\rSec1[lex.literal]{Literals}%,lex.tex:1049,\rSec2[lex.ccon]{Character literals},lex.tex:-1,,lex.tex:-1,,lex.tex:-1,,lex.tex:1192,case the value is \impldef{value of wide-character literal with single c-char that isnot in execution wide-character set}
lex.tex:2,\rSec0[lex]{Lexical conventions},lex.tex:811,\rSec1[lex.literal]{Literals}%,lex.tex:1049,\rSec2[lex.ccon]{Character literals},lex.tex:-1,,lex.tex:-1,,lex.tex:-1,,lex.tex:1197,\impldef{value of wide-character literal containing multiple characters}.
lex.tex:2,\rSec0[lex]{Lexical conventions},lex.tex:811,\rSec1[lex.literal]{Literals}%,lex.tex:1049,\rSec2[lex.ccon]{Character literals},lex.tex:-1,,lex.tex:-1,,lex.tex:-1,,lex.tex:1217,"Table~\ref{tab:escape.sequences} are conditionally-supported, with \impldef{semantics of"
lex.tex:2,\rSec0[lex]{Lexical conventions},lex.tex:811,\rSec1[lex.literal]{Literals}%,lex.tex:1049,\rSec2[lex.ccon]{Character literals},lex.tex:-1,,lex.tex:-1,,lex.tex:-1,,lex.tex:1254,The value of a character literal is \impldef{value of character literal outside range ofcorresponding type}
lex.tex:2,\rSec0[lex]{Lexical conventions},lex.tex:811,\rSec1[lex.literal]{Literals}%,lex.tex:1049,\rSec2[lex.ccon]{Character literals},lex.tex:-1,,lex.tex:-1,,lex.tex:-1,,lex.tex:1255,corresponding type} if it falls outside of the \impldef{range defined for character literals}
lex.tex:2,\rSec0[lex]{Lexical conventions},lex.tex:811,\rSec1[lex.literal]{Literals}%,lex.tex:1049,\rSec2[lex.ccon]{Character literals},lex.tex:-1,,lex.tex:-1,,lex.tex:-1,,lex.tex:1269,\impldef{encoding of universal character name not in execution character set} encoding.
lex.tex:2,\rSec0[lex]{Lexical conventions},lex.tex:811,\rSec1[lex.literal]{Literals}%,lex.tex:1277,\rSec2[lex.fcon]{Floating literals},lex.tex:-1,,lex.tex:-1,,lex.tex:-1,,lex.tex:1379,"nearest the scaled value, chosen in an \impldef{choice of larger or smaller value offloating literal}"
lex.tex:2,\rSec0[lex]{Lexical conventions},lex.tex:811,\rSec1[lex.literal]{Literals}%,lex.tex:1396,\rSec2[lex.string]{String literals},lex.tex:-1,,lex.tex:-1,,lex.tex:-1,,lex.tex:1599,conditionally-supported with \impldef{concatenation of some types of string literals}
basic.tex:2,\rSec0[basic]{Basic concepts},basic.tex:2429,\rSec1[basic.start]{Start and termination},basic.tex:2431,\rSec2[basic.start.main]{\tcode{main} function},basic.tex:-1,,basic.tex:-1,,basic.tex:-1,,basic.tex:2441,It is \impldef{defining \tcode{main} in freestanding environment}
basic.tex:2,\rSec0[basic]{Basic concepts},basic.tex:2429,\rSec1[basic.start]{Start and termination},basic.tex:2431,\rSec2[basic.start.main]{\tcode{main} function},basic.tex:-1,,basic.tex:-1,,basic.tex:-1,,basic.tex:2444,\impldef{start-up and termination in freestanding environment}; start-up contains the
basic.tex:2,\rSec0[basic]{Basic concepts},basic.tex:2429,\rSec1[basic.start]{Start and termination},basic.tex:2431,\rSec2[basic.start.main]{\tcode{main} function},basic.tex:-1,,basic.tex:-1,,basic.tex:-1,,basic.tex:2453,"\tcode{int}, but otherwise its type is \impldef{parameters to \tcode{main}}."
basic.tex:2,\rSec0[basic]{Basic concepts},basic.tex:2429,\rSec1[basic.start]{Start and termination},basic.tex:2431,\rSec2[basic.start.main]{\tcode{main} function},basic.tex:-1,,basic.tex:-1,,basic.tex:-1,,basic.tex:2486,\impldef{linkage of \tcode{main}}. A program that defines \tcode{main} as
basic.tex:2,\rSec0[basic]{Basic concepts},basic.tex:2429,\rSec1[basic.start]{Start and termination},basic.tex:2592,\rSec2[basic.start.dynamic]{Dynamic initialization of non-local variables},basic.tex:-1,,basic.tex:-1,,basic.tex:-1,,basic.tex:2658,It is \impldef{dynamic initialization of static variables before \tcode{main}}
basic.tex:2,\rSec0[basic]{Basic concepts},basic.tex:2429,\rSec1[basic.start]{Start and termination},basic.tex:2592,\rSec2[basic.start.dynamic]{Dynamic initialization of non-local variables},basic.tex:-1,,basic.tex:-1,,basic.tex:-1,,basic.tex:2670,It is \impldef{threads and program points at which deferred dynamic initialization is performed}
basic.tex:2,\rSec0[basic]{Basic concepts},basic.tex:2429,\rSec1[basic.start]{Start and termination},basic.tex:2592,\rSec2[basic.start.dynamic]{Dynamic initialization of non-local variables},basic.tex:-1,,basic.tex:-1,,basic.tex:-1,,basic.tex:2701,It is \impldef{dynamic initialization of static variables before \tcode{main}}
basic.tex:2,\rSec0[basic]{Basic concepts},basic.tex:2429,\rSec1[basic.start]{Start and termination},basic.tex:2592,\rSec2[basic.start.dynamic]{Dynamic initialization of non-local variables},basic.tex:-1,,basic.tex:-1,,basic.tex:-1,,basic.tex:2713,It is \impldef{dynamic initialization of static inline variables before \tcode{main}}
basic.tex:2,\rSec0[basic]{Basic concepts},basic.tex:2429,\rSec1[basic.start]{Start and termination},basic.tex:2592,\rSec2[basic.start.dynamic]{Dynamic initialization of non-local variables},basic.tex:-1,,basic.tex:-1,,basic.tex:-1,,basic.tex:2720,It is \impldef{threads and program points at which deferred dynamic initialization is performed}
basic.tex:2,\rSec0[basic]{Basic concepts},basic.tex:2429,\rSec1[basic.start]{Start and termination},basic.tex:2592,\rSec2[basic.start.dynamic]{Dynamic initialization of non-local variables},basic.tex:-1,,basic.tex:-1,,basic.tex:-1,,basic.tex:2724,It is \impldef{dynamic initialization of thread-local variables before entry}
basic.tex:2,\rSec0[basic]{Basic concepts},basic.tex:2429,\rSec1[basic.start]{Start and termination},basic.tex:2592,\rSec2[basic.start.dynamic]{Dynamic initialization of non-local variables},basic.tex:-1,,basic.tex:-1,,basic.tex:-1,,basic.tex:2733,It is \impldef{threads and program points at which deferred dynamic initialization is performed}
basic.tex:2,\rSec0[basic]{Basic concepts},basic.tex:2831,\rSec1[basic.stc]{Storage duration},basic.tex:-1,,basic.tex:-1,,basic.tex:-1,,basic.tex:-1,,basic.tex:2870,\impldef{any use of an invalid pointer other than to perform indirection or deallocate}
basic.tex:2,\rSec0[basic]{Basic concepts},basic.tex:2831,\rSec1[basic.stc]{Storage duration},basic.tex:2939,\rSec2[basic.stc.dynamic]{Dynamic storage duration}%,basic.tex:3141,\rSec3[basic.stc.dynamic.safety]{Safely-derived pointers},basic.tex:-1,,basic.tex:-1,,basic.tex:3226,\impldef{whether an implementation has relaxed or strict pointersafety}
basic.tex:2,\rSec0[basic]{Basic concepts},basic.tex:3498,\rSec1[basic.types]{Types}%,basic.tex:-1,,basic.tex:-1,,basic.tex:-1,,basic.tex:-1,,basic.tex:3570,\impldef{values of a trivially copyable type} set of values.\footnote{The
basic.tex:2,\rSec0[basic]{Basic concepts},basic.tex:3498,\rSec1[basic.types]{Types}%,basic.tex:3701,\rSec2[basic.fundamental]{Fundamental types},basic.tex:-1,,basic.tex:-1,,basic.tex:-1,,basic.tex:3715,character literal form of that character. It is \impldef{signedness of \tcode{char}}
basic.tex:2,\rSec0[basic]{Basic concepts},basic.tex:3498,\rSec1[basic.types]{Types}%,basic.tex:3701,\rSec2[basic.fundamental]{Fundamental types},basic.tex:-1,,basic.tex:-1,,basic.tex:-1,,basic.tex:3741,char}; which one is \impldef{representation of \tcode{char}}.
basic.tex:2,\rSec0[basic]{Basic concepts},basic.tex:3498,\rSec1[basic.types]{Types}%,basic.tex:3701,\rSec2[basic.fundamental]{Fundamental types},basic.tex:-1,,basic.tex:-1,,basic.tex:-1,,basic.tex:3763,There may also be \impldef{extended signed integer types}
basic.tex:2,\rSec0[basic]{Basic concepts},basic.tex:3498,\rSec1[basic.types]{Types}%,basic.tex:3701,\rSec2[basic.fundamental]{Fundamental types},basic.tex:-1,,basic.tex:-1,,basic.tex:-1,,basic.tex:3896,representation of floating-point types is \impldef{value representation offloating-point types}
basic.tex:2,\rSec0[basic]{Basic concepts},basic.tex:3498,\rSec1[basic.types]{Types}%,basic.tex:3939,\rSec2[basic.compound]{Compound types},basic.tex:-1,,basic.tex:-1,,basic.tex:-1,,basic.tex:4047,pointer types is \impldef{value representation of pointer types}. Pointers to
basic.tex:2,\rSec0[basic]{Basic concepts},basic.tex:4333,\rSec1[basic.align]{Alignment},basic.tex:-1,,basic.tex:-1,,basic.tex:-1,,basic.tex:-1,,basic.tex:4338,may be allocated. An \defn{alignment} is an \impldef{alignment}
basic.tex:2,\rSec0[basic]{Basic concepts},basic.tex:4333,\rSec1[basic.align]{Alignment},basic.tex:-1,,basic.tex:-1,,basic.tex:-1,,basic.tex:-1,,basic.tex:4370,greater than \tcode{alignof(std::max_align_t)}. It is \impldef{support for extended alignments}
basic.tex:2,\rSec0[basic]{Basic concepts},basic.tex:4333,\rSec1[basic.align]{Alignment},basic.tex:-1,,basic.tex:-1,,basic.tex:-1,,basic.tex:-1,,basic.tex:4383,expression for the fundamental types plus an additional \impldef{alignment additionalvalues}
conversions.tex:2,\rSec0[conv]{Standard conversions},conversions.tex:117,\rSec1[conv.lval]{Lvalue-to-rvalue conversion},conversions.tex:-1,,conversions.tex:-1,,conversions.tex:-1,,conversions.tex:-1,,conversions.tex:182,\impldef{lvalue-to-rvalue conversion of an invalid pointer value}.
conversions.tex:2,\rSec0[conv]{Standard conversions},conversions.tex:408,\rSec1[conv.integral]{Integral conversions},conversions.tex:-1,,conversions.tex:-1,,conversions.tex:-1,,conversions.tex:-1,,conversions.tex:431,the value is \impldef{value of result of unsigned to signed conversion}.
conversions.tex:2,\rSec0[conv]{Standard conversions},conversions.tex:443,\rSec1[conv.double]{Floating-point conversions},conversions.tex:-1,,conversions.tex:-1,,conversions.tex:-1,,conversions.tex:-1,,conversions.tex:452,\impldef{result of inexact floating-point conversion} choice of either of those values.
conversions.tex:2,\rSec0[conv]{Standard conversions},conversions.tex:459,\rSec1[conv.fpint]{Floating-integral conversions},conversions.tex:-1,,conversions.tex:-1,,conversions.tex:-1,,conversions.tex:-1,,conversions.tex:480,"represented exactly, it is an \impldef{value of result of inexact integer tofloating-point conversion}"
conversions.tex:2,\rSec0[conv]{Standard conversions},conversions.tex:611,\rSec1[conv.rank]{Integer conversion rank}%,conversions.tex:-1,,conversions.tex:-1,,conversions.tex:-1,,conversions.tex:-1,,conversions.tex:651,extended signed integer type with the same size is \impldef{rank of extended signedinteger type}
expressions.tex:2,\rSec0[expr]{Expressions},expressions.tex:1443,\rSec1[expr.post]{Postfix expressions}%,expressions.tex:1521,\rSec2[expr.call]{Function call},expressions.tex:-1,,expressions.tex:-1,,expressions.tex:-1,,expressions.tex:1611,It is \impldef{whether the lifetime of a parameter ends when the calleereturns or at the end of the enclosing full-expression}
expressions.tex:2,\rSec0[expr]{Expressions},expressions.tex:1443,\rSec1[expr.post]{Postfix expressions}%,expressions.tex:1521,\rSec2[expr.call]{Function call},expressions.tex:-1,,expressions.tex:-1,,expressions.tex:-1,,expressions.tex:1736,\impldef{passing argument of class type through ellipsis} semantics. If the argument has
expressions.tex:2,\rSec0[expr]{Expressions},expressions.tex:1443,\rSec1[expr.post]{Postfix expressions}%,expressions.tex:2129,\rSec2[expr.typeid]{Type identification},expressions.tex:-1,,expressions.tex:-1,,expressions.tex:-1,,expressions.tex:2139,\impldef{derived type for \tcode{typeid}} class publicly derived from
expressions.tex:2,\rSec0[expr]{Expressions},expressions.tex:1443,\rSec1[expr.post]{Postfix expressions}%,expressions.tex:2437,\rSec2[expr.reinterpret.cast]{Reinterpret cast},expressions.tex:-1,,expressions.tex:-1,,expressions.tex:-1,,expressions.tex:2473,The mapping function is \impldef{mapping of pointer to integer}.
expressions.tex:2,\rSec0[expr]{Expressions},expressions.tex:1443,\rSec1[expr.post]{Postfix expressions}%,expressions.tex:2437,\rSec2[expr.reinterpret.cast]{Reinterpret cast},expressions.tex:-1,,expressions.tex:-1,,expressions.tex:-1,,expressions.tex:2492,\impldef{conversions between pointers and integers}.
expressions.tex:2,\rSec0[expr]{Expressions},expressions.tex:1443,\rSec1[expr.post]{Postfix expressions}%,expressions.tex:2437,\rSec2[expr.reinterpret.cast]{Reinterpret cast},expressions.tex:-1,,expressions.tex:-1,,expressions.tex:-1,,expressions.tex:2537,"\impldef{converting function pointer to object pointer and vice versa},"
expressions.tex:2,\rSec0[expr]{Expressions},expressions.tex:2709,\rSec1[expr.unary]{Unary expressions},expressions.tex:2925,\rSec2[expr.sizeof]{Sizeof},expressions.tex:-1,,expressions.tex:-1,,expressions.tex:-1,,expressions.tex:2943,type~(\ref{basic.fundamental}) is \impldef{\tcode{sizeof} applied to
expressions.tex:2,\rSec0[expr]{Expressions},expressions.tex:2709,\rSec1[expr.unary]{Unary expressions},expressions.tex:3013,\rSec2[expr.new]{New},expressions.tex:-1,,expressions.tex:-1,,expressions.tex:-1,,expressions.tex:3208,\impldef{maximum size of an allocated object} limit (Annex~\ref{implimits}); or
expressions.tex:2,\rSec0[expr]{Expressions},expressions.tex:4060,\rSec1[expr.add]{Additive operators}%,expressions.tex:-1,,expressions.tex:-1,,expressions.tex:-1,,expressions.tex:-1,,expressions.tex:4135,the type of the result is an \impldef{type of \tcode{ptrdiff_t}} signed
expressions.tex:2,\rSec0[expr]{Expressions},expressions.tex:4170,\rSec1[expr.shift]{Shift operators},expressions.tex:-1,,expressions.tex:-1,,expressions.tex:-1,,expressions.tex:-1,,expressions.tex:4217,\impldef{result of right shift of negative value}.
declarations.tex:2,\rSec0[dcl.dcl]{Declarations}%,declarations.tex:-1,,declarations.tex:-1,,declarations.tex:-1,,declarations.tex:-1,,declarations.tex:-1,,declarations.tex:120,is \impldef{meaning of attribute declaration}.
declarations.tex:2,\rSec0[dcl.dcl]{Declarations}%,declarations.tex:242,\rSec1[dcl.spec]{Specifiers}%,declarations.tex:1022,\rSec2[dcl.type]{Type specifiers}%,declarations.tex:1119,\rSec3[dcl.type.cv]{The \grammarterm{cv-qualifier}{s}}%,declarations.tex:-1,,declarations.tex:-1,,declarations.tex:1204,\impldef{semantics of an access through a volatile glvalue}.
declarations.tex:2,\rSec0[dcl.dcl]{Declarations}%,declarations.tex:242,\rSec1[dcl.spec]{Specifiers}%,declarations.tex:1022,\rSec2[dcl.type]{Type specifiers}%,declarations.tex:1223,\rSec3[dcl.type.simple]{Simple type specifiers}%,declarations.tex:-1,,declarations.tex:-1,,declarations.tex:1356,It is \impldef{signedness of \tcode{char}} whether objects of \tcode{char} type are
declarations.tex:2,\rSec0[dcl.dcl]{Declarations}%,declarations.tex:1907,\rSec1[dcl.enum]{Enumeration declarations}%,declarations.tex:-1,,declarations.tex:-1,,declarations.tex:-1,,declarations.tex:-1,,declarations.tex:2112,"values, the enumeration is ill-formed. It is \impldef{underlying type for enumeration}"
declarations.tex:2,\rSec0[dcl.dcl]{Declarations}%,declarations.tex:3330,\rSec1[dcl.asm]{The \tcode{asm} declaration}%,declarations.tex:-1,,declarations.tex:-1,,declarations.tex:-1,,declarations.tex:-1,,declarations.tex:3344,\impldef{meaning of \tcode{asm} declaration}.
declarations.tex:2,\rSec0[dcl.dcl]{Declarations}%,declarations.tex:3352,\rSec1[dcl.link]{Linkage specifications}%,declarations.tex:-1,,declarations.tex:-1,,declarations.tex:-1,,declarations.tex:-1,,declarations.tex:3387,"conditionally-supported, with \impldef{semantics of linkage specifiers} semantics."
declarations.tex:2,\rSec0[dcl.dcl]{Declarations}%,declarations.tex:3352,\rSec1[dcl.link]{Linkage specifications}%,declarations.tex:-1,,declarations.tex:-1,,declarations.tex:-1,,declarations.tex:-1,,declarations.tex:3582,defined in \Cpp from other languages is \impldef{linkage of objects between \Cpp and other languages} and
declarations.tex:2,\rSec0[dcl.dcl]{Declarations}%,declarations.tex:3588,\rSec1[dcl.attr]{Attributes}%,declarations.tex:3591,\rSec2[dcl.attr.grammar]{Attribute syntax and semantics},declarations.tex:-1,,declarations.tex:-1,,declarations.tex:-1,,declarations.tex:3730,behavior is \impldef{behavior of non-standard attributes}.
declarators.tex:2,\rSec0[dcl.decl]{Declarators}%,declarators.tex:1980,\rSec1[dcl.fct.def]{Function definitions}%,declarators.tex:1983,\rSec2[dcl.fct.def.general]{In general},declarators.tex:-1,,declarators.tex:-1,,declarators.tex:-1,,declarators.tex:2086,"had been provided, where \grammarterm{function-name} is an \impldef{string resulting"
classes.tex:2,\rSec0[class]{Classes}%,classes.tex:438,\rSec1[class.mem]{Class members}%,classes.tex:1289,\rSec2[class.bit]{Bit-fields}%,classes.tex:-1,,classes.tex:-1,,classes.tex:-1,,classes.tex:1313,\impldef{allocation of bit-fields within a class object}.
classes.tex:2,\rSec0[class]{Classes}%,classes.tex:438,\rSec1[class.mem]{Class members}%,classes.tex:1289,\rSec2[class.bit]{Bit-fields}%,classes.tex:-1,,classes.tex:-1,,classes.tex:-1,,classes.tex:1315,Alignment of bit-fields is \impldef{alignment of bit-fields within a class object}.
templates.tex:2,\rSec0[temp]{Templates}%,templates.tex:-1,,templates.tex:-1,,templates.tex:-1,,templates.tex:-1,,templates.tex:-1,,templates.tex:121,\impldef{semantics of linkage specification on templates} semantics.
templates.tex:2,\rSec0[temp]{Templates}%,templates.tex:4433,\rSec1[temp.spec]{Template instantiation and specialization},templates.tex:4555,\rSec2[temp.inst]{Implicit instantiation},templates.tex:-1,,templates.tex:-1,,templates.tex:-1,,templates.tex:4850,There is an \impldef{maximum depth of recursive template instantiations} quantity
exceptions.tex:2,\rSec0[except]{Exception handling}%,exceptions.tex:436,\rSec1[except.handle]{Handling an exception},exceptions.tex:-1,,exceptions.tex:-1,,exceptions.tex:-1,,exceptions.tex:-1,,exceptions.tex:612,is \impldef{stack unwinding before call to\tcode{std::terminate()}
exceptions.tex:2,\rSec0[except]{Exception handling}%,exceptions.tex:969,\rSec1[except.special]{Special functions},exceptions.tex:980,\rSec2[except.terminate]{The \tcode{std::terminate()} function},exceptions.tex:-1,,exceptions.tex:-1,,exceptions.tex:-1,,exceptions.tex:1062,\impldef{stack unwinding before call to \tcode{std::terminate()}} whether or not the
exceptions.tex:2,\rSec0[except]{Exception handling}%,exceptions.tex:969,\rSec1[except.special]{Special functions},exceptions.tex:980,\rSec2[except.terminate]{The \tcode{std::terminate()} function},exceptions.tex:-1,,exceptions.tex:-1,,exceptions.tex:-1,,exceptions.tex:1070,\impldef{whether stack is unwound before calling \tcode{std::ter\-mi\-nate()}
preprocessor.tex:2,\rSec0[cpp]{Preprocessing directives}%,preprocessor.tex:-1,,preprocessor.tex:-1,,preprocessor.tex:-1,,preprocessor.tex:-1,,preprocessor.tex:-1,,preprocessor.tex:140,\impldef{additional supported forms of preprocessing directive}
preprocessor.tex:2,\rSec0[cpp]{Preprocessing directives}%,preprocessor.tex:186,\rSec1[cpp.cond]{Conditional inclusion}%,preprocessor.tex:-1,,preprocessor.tex:-1,,preprocessor.tex:-1,,preprocessor.tex:-1,,preprocessor.tex:348,is \impldef{numeric values of character literals in \tcode{\#if}
preprocessor.tex:2,\rSec0[cpp]{Preprocessing directives}%,preprocessor.tex:186,\rSec1[cpp.cond]{Conditional inclusion}%,preprocessor.tex:-1,,preprocessor.tex:-1,,preprocessor.tex:-1,,preprocessor.tex:-1,,preprocessor.tex:363,value is \impldef{negative value of character literal in preprocessor}.
preprocessor.tex:2,\rSec0[cpp]{Preprocessing directives}%,preprocessor.tex:442,\rSec1[cpp.include]{Source file inclusion},preprocessor.tex:-1,,preprocessor.tex:-1,,preprocessor.tex:-1,,preprocessor.tex:-1,,preprocessor.tex:462,\impldef{sequence of places searched for a header}
preprocessor.tex:2,\rSec0[cpp]{Preprocessing directives}%,preprocessor.tex:442,\rSec1[cpp.include]{Source file inclusion},preprocessor.tex:-1,,preprocessor.tex:-1,,preprocessor.tex:-1,,preprocessor.tex:-1,,preprocessor.tex:474,is \impldef{search locations for \tcode{<>} header}.
preprocessor.tex:2,\rSec0[cpp]{Preprocessing directives}%,preprocessor.tex:442,\rSec1[cpp.include]{Source file inclusion},preprocessor.tex:-1,,preprocessor.tex:-1,,preprocessor.tex:-1,,preprocessor.tex:-1,,preprocessor.tex:487,\impldef{manner of search for included source file}
preprocessor.tex:2,\rSec0[cpp]{Preprocessing directives}%,preprocessor.tex:442,\rSec1[cpp.include]{Source file inclusion},preprocessor.tex:-1,,preprocessor.tex:-1,,preprocessor.tex:-1,,preprocessor.tex:-1,,preprocessor.tex:526,"preprocessing token is \impldef{search locations for \tcode{""""""""} header}."
preprocessor.tex:2,\rSec0[cpp]{Preprocessing directives}%,preprocessor.tex:442,\rSec1[cpp.include]{Source file inclusion},preprocessor.tex:-1,,preprocessor.tex:-1,,preprocessor.tex:-1,,preprocessor.tex:-1,,preprocessor.tex:546,up to an \impldef{nesting limit for \tcode{\#include} directives} nesting limit.
